Nivel;ID;Denominacion
4;CH-CNTELBLK-CCH-01;CONTROL ELECTRICO BLACK BBY2
4;CH-TOLVA-CCH-01;TOLVA 1 BBY2
4;CH-TOLVA-CCH-02;TOLVA 2 BBY2
4;CH-TOLVA-CCH-03;TOLVA 3 BBY2
4;CH-TOLVA-CCH-04;TOLVA 4 BBY2
4;CH-TOLVA-CCH-05;TOLVA 5 BBY2
4;CH-TOLVA-CCH-06;TOLVA 6 BBY2
4;CH-TOLVA-CCH-07;TOLVA 7 BBY2
4;CH-TOLVA-CCH-08;TOLVA 8 BBY2
3;L504-BB02-000033;OIL(ACEITES)
4;CH-ACEITEA-CCH-03;ACEITE LADO A BBY2
4;CH-ACEITEB-CCH-04;ACEITE LADO B BBY2
4;CH-CNTELOIL-CCH-02;CONTROL ELECTRICO OIL BBY2
3;L504-BB02-000034;MIXER
4;CH-CNTELECMX-CCH02;CONTROL ELECTRICO MIXER BBY2
4;CH-CUERPO-CCH-02;CUERPO BBY2
4;CH-MOTORPRI-CCH-02;MOTOR PRINCIPAL MIXER BBY #2
3;L504-BB02-000035;PUTUP(ZONA DE CARGA)
4;CH-CARGLAT-CCH-03;CARGADOR LATERAL 1 BBY2
4;CH-CARGLAT-CCH-04;CARGADOR LATERAL 2 BBY2
4;CH-CONVBAL-CCH-02;CONVEYOR BALANZA BBY2
4;CH-CONVCAR-CCH-02;CONVEYOR CARGA BBY2
4;CONTELPUTUP-CCH-02;CONTROL ELECTRICO PUTUP BBY2
3;L504-BB02-000036;SHEETING(LAMINADO)
4;CH-HOPPER-CCH-02;HOPPER BBY2
4;CH-MOTOREXT-CCH-02;MOTOR EXTRUDER BBY #2
4;CH-MOTORROL-CCH-02;MOTOR ROLLER DIE BBY #2
4;CH-TRSRDIE-CCH-02;TSR ROLLER DIE BBY2
4;CH-TSREXTRU-CCH-02;TSR EXTRUDER BBY2
4;CNTRLESHET-CCH-02;CONTROL ELECTRICO SHEETING BBY2
3;L504-BB02-000037;COOLING(ENFRIAMIENTO)
4;CH-CHILLER-CCH-02;CHILLER BBY2
4;CH-CNTRECOL-CCH-02;CONTROL ELECTRICO COOLING BBY2
4;CH-CONVSLUR-CCH-02;CONVEYOR SLURRY BBY2
4;CH-FESTONRK-CCH-02;FESTOON RACK BBY2
4;CH-MANAIR-CCH-02;MANEJADOR DE AIRE BBY2
4;CNTRLETAKE-CCH-02;CONVEYOR TAKEAWAY BBY2
3;L504-BB02-000038;LAYDOWN
4;CH-APICKOUT-CCH-02;AUTO PICK-OUTC BBY2
4;CH-CNTLELAY-CCH-02;CONTROL ELECTRICO LAYDOWN BBY2
4;CH-SKIDINDX-CCH-03;SKID INDEXER 1 BBY2
4;CH-SKIDINDX-CCH-04;SKID INDEXER 2 BBY2
4;CH-WIGWAG-CCH-03;WIG-WAG 1 BBY2
4;CH-WIGWAG-CCH-04;WIG-WAG 2 BBY2
3;L504-BB02-000039;DYNAMIC AIR
4;CH-BIN-CCH-01;BIN # 1 BBY2
4;CH-BIN-CCH-02;BIN # 2 BBY2
4;CH-BIN-CCH-03;BIN # 3 BBY2
4;CH-BIN-CCH-04;BIN # 4 BBY2
4;CH-BIN-CCH-05;BIN # 5 BBY2
4;CH-BIN-CCH-06;BIN # 6 BBY2
4;CH-BIN-CCH-07;BIN # 7 BBY2
4;CH-BIN-CCH-08;BIN # 8 BBY2
4;CH-BINCARG-CCH-01;BIN DE CARGA BBY2
4;CH-CNTELDYN-CCH-01;CONTROL ELECTRICO DYNAMIC BBY2
4;CH-MANIFDER-CCH-01;MANIFOLD DERIVACION BBY2
4;CH-VALV3WAY-CCH-01;VALVULA DE TRES VIAS BBY2
2;L504-BB03;MIXER 3
3;L504-BB03-000031;AUXILIARES
4;CH-BTCU-CCH-03;BTCU BBY3
4;CH-CCARGA-CCH-03;PUERTA DE CARGA BBY3
4;CH-CDESCA-CCH-03;COMPUERTA DESCARGA BBY3
4;CH-CNTLELEC-CCH-03;CONTROL ELECTRICO AUX BBY3
4;CH-CREDUCT-03;CAJA REDUCTORA BBY3
4;CH-DSL-CCH-03;DSL BBY3
4;CH-DUSTCOLL-CCH-03;DUST COLLECTOR MIX BBY3
4;CH-HTU-CCH-03;HTU BBY3
4;CH-HYDRAULI-CCH-03;HYDRAULICO BBY3
4;CH-INYGREAS-CCH03;SISTEMA INYECCION DE GRASA BBY3
4;CH-MTCU-CCH-03;MTCU BBY3
